10,S4,L1,0.967,0.9596,0.9485
10,S1,L2,0.8124,0.8345,0.8356
10,S2,L2,0.6319,0.589,0.6105
10,S3,L2,1.1343,1.1051,1.1447
10,S4,L2,1.0012,1.009,0.9791
10,S1,L3,0.8162,0.8353,0.8418
10,S2,L3,0.675,0.6425,0.6482
10,S3,L3,1.1265,1.128,1.1364
10,S4,L3,1.0767,1.06,1.0665
10,S1,L4,0.8187,0.8384,0.839
10,S2,L4,0.6246,0.6304,0.5457
10,S3,L4,1.108,1.1135,1.1302
10,S4,L4,1.0694,1.0859,1.0721
10,S1,L5,0.8036,0.8405,0.8933
10,S2,L5,0.6059,0.579,0.5855
10,S3,L5,1.1207,1.1199,1.1192
10,S4,L5,1.0742,1.0885,1.0603
10,S1,L6,0.8204,0.8485,0.8512
10,S2,L6,0.6141,0.6063,0.6211
10,S3,L6,1.1295,1.1281,1.1285
10,S4,L6,1.0678,1.0824,1.0807
12,S1,L1,0.7582,0.7671,0.7827
12,S2,L1,0.7497,0.673,0.6356
12,S3,L1,1.1642,1.1524,1.1549
12,S4,L1,1.0167,1.0313,1.0198
12,S1,L2,0.8098,0.8394,0.8587
12,S2,L2,0.6768,0.6646,0.6816
12,S3,L2,1.1937,1.1412,1.1842
12,S4,L2,1.0916,1.1075,1.0526
12,S1,L3,0.8268,0.846,0.8725
12,S2,L3,0.7549,0.7233,0.7354
12,S3,L3,1.176,1.1519,1.1598
12,S4,L3,1.1134,1.0879,1.0971
12,S1,L4,0.8137,0.86,0.8705
12,S2,L4,0.7025,0.7226,0.6513
12,S3,L4,1.1757,1.1461,1.1597
12,S4,L4,1.098,1.1188,1.102
12,S1,L5,0.8142,0.8521,0.9239
12,S2,L5,0.6986,0.6715,0.6842
12,S3,L5,1.1641,1.154,1.1547
12,S4,L5,1.1092,1.1302,1.1048
12,S1,L6,0.8133,0.8556,0.8791
12,S2,L6,0.7378,0.7155,0.7352
12,S3,L6,1.1619,1.1575,1.1414
12,S4,L6,1.1026,1.1164,1.1133
